종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2019
20,동화약품 ,8270,-100,-1.19,365,22.66,10636,0.78,120,1.45,,
40,KR모터스 ,489,-4,-0.81,,,279,1.75,0,0,,
50,경방 ,10050,60,0.6,740,13.58,25854,0.39,125,1.24,,
60,메리츠화재 ,19550,350,1.82,2122,9.21,20025,0.98,820,4.19,,
70,삼양홀딩스 ,64500,-900,-1.38,9043,7.13,159177,0.41,2000,3.1,,
75,삼양홀딩스우 ,43050,-1000,-2.27,,,,,2050,4.76,,
80,하이트진로 ,29600,300,1.02,319,92.79,16301,1.82,800,2.7,,
87,하이트진로2우B ,17850,100,0.56,,,,,850,4.76,,
100,유한양행 ,218000,-1000,-0.46,4838,45.06,126224,1.73,2000,0.92,,
105,유한양행우 ,205500,0,0,,,,,2050,1,,
120,CJ대한통운 ,157500,0,0,1996,78.91,116702,1.35,0,0,,
140,하이트진로홀딩스 ,14400,50,0.35,,,20450,0.7,200,1.39,,
145,하이트진로홀딩스우 ,18450,-150,-0.81,,,,,250,1.36,,
150,두산 ,76100,-400,-0.52,,,85108,0.89,5200,6.83,,
155,두산우 ,67400,100,0.15,,,,,5250,7.79,,
157,두산2우B ,67900,0,0,,,,,5200,7.66,,
180,성창기업지주 ,1660,-35,-2.06,,,7013,0.24,0,0,,
210,대림산업 ,92500,-800,-0.86,16741,5.53,139638,0.66,1700,1.84,,
215,대림산업우 ,39550,-250,-0.63,,,,,1750,4.42,,
220,유유제약 ,11750,-50,-0.42,639,18.39,11191,1.05,200,1.7,,
225,유유제약1우 ,7390,60,0.82,,,,,210,2.84,,
227,유유제약2우B ,19950,0,0,,,,,210,1.05,,
230,일동홀딩스 ,11600,-150,-1.28,,,14935,0.78,200,1.72,,
240,한국테크놀로지그룹 ,13700,-50,-0.36,2258,6.07,33857,0.4,300,2.19,,
250,삼천당제약 ,33650,-50,-0.15,409,82.27,6719,5.01,50,0.15,,
270,기아차 ,42950,-150,-0.35,2883,14.9,67208,0.64,900,2.1,,
300,대유플러스 ,774,4,0.52,27,28.67,866,0.89,0,0,,
320,노루홀딩스 ,12500,100,0.81,,,27104,0.46,450,3.6,,
325,노루홀딩스우 ,17950,100,0.56,,,,,455,2.53,,
370,한화손해보험 ,2980,10,0.34,648,4.6,12126,0.25,130,4.36,,
390,삼화페인트 ,5290,10,0.19,32,165.31,10625,0.5,125,2.36,,
400,롯데손해보험 ,2270,75,3.42,666,3.41,4195,0.54,0,0,,
430,대원강업 ,3640,15,0.41,281,12.95,7509,0.48,115,3.16,,
440,중앙에너비스 ,7100,0,0,958,7.41,7269,0.98,160,2.25,,
480,조선내화 ,92000,700,0.77,16227,5.67,146819,0.63,4000,4.35,,
490,대동공업 ,6080,20,0.33,59,103.05,8931,0.68,50,0.82,,
500,가온전선 ,19000,0,0,24,791.67,62301,0.3,600,3.16,,
520,삼일제약 ,21900,-550,-2.45,,,8628,2.54,100,0.46,,
540,흥국화재 ,3305,-35,-1.05,695,4.76,10466,0.32,0,0,,
545,흥국화재우 ,4720,-60,-1.26,,,,,0,0,,
547,흥국화재2우B ,19800,50,0.25,,,,,0,0,,
590,CS홀딩스 ,58100,0,0,5469,10.62,189462,0.31,500,0.86,,
640,동아쏘시오홀딩스 ,87200,-1800,-2.02,,,119609,0.73,1000,1.15,,
650,천일고속 ,71300,100,0.14,,,43299,1.65,6000,8.42,,
660,SK하이닉스 ,81300,-1000,-1.22,22255,3.65,64348,1.26,1500,1.85,,
670,영풍 ,619000,-4000,-0.64,64368,9.62,1651007,0.37,10000,1.62,,
680,LS네트웍스 ,2555,0,0,222,11.51,8096,0.32,0,0,,
700,유수홀딩스 ,7310,0,0,361,20.25,8396,0.87,0,0,,
720,현대건설 ,44600,-700,-1.55,3424,13.03,56293,0.79,500,1.12,,
725,현대건설우 ,152500,-2500,-1.61,,,,,550,0.36,,
760,이화산업 ,15000,0,0,,,37973,0.4,0,0,,
810,삼성화재 ,236000,500,0.21,25182,9.37,244508,0.97,11500,4.87,,
815,삼성화재우 ,170000,0,0,,,,,11505,6.77,,
850,화천기공 ,38700,-500,-1.28,5753,6.73,130939,0.3,1250,3.23,,
860,강남제비스코 ,22150,-150,-0.67,5942,3.73,79596,0.28,550,2.48,,
880,한화 ,24550,-300,-1.21,6541,3.75,42747,0.57,700,2.85,,
885,한화우 ,28450,-250,-0.87,,,,,750,2.64,,
890,보해양조 ,1150,50,4.55,,,718,1.6,0,0,,
910,유니온 ,4500,65,1.47,,,7203,0.62,100,2.22,,
950,전방 ,16050,-250,-1.53,,,74392,0.22,0,0,,
970,한국주철관 ,10200,0,0,305,33.44,11481,0.89,200,1.96,,
990,DB하이텍 ,17050,-700,-3.94,2002,8.52,12545,1.36,250,1.47,,
995,DB하이텍1우 ,38000,-1000,-2.56,,,,,300,0.79,,
1000,신라섬유 ,1920,-20,-1.03,7,274.29,587,3.27,0,0,,
1020,페이퍼코리아 ,601,6,1.01,,,380,1.58,0,0,,
1040,CJ ,89800,-1200,-1.32,9180,9.78,121743,0.74,1450,1.61,,
1045,CJ우 ,42600,-100,-0.23,,,,,1500,3.52,,
1060,JW중외제약 ,30600,50,0.16,336,91.07,11795,2.59,325,1.06,,
1065,JW중외제약우 ,26350,-600,-2.23,,,,,350,1.33,,
1067,JW중외제약2우B ,40450,450,1.13,,,,,325,0.8,,
