종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,15700,-650,-3.98,1033,15.2,11860,1.32,180,1.15
40,KR모터스 ,1005,-30,-2.9,,,396,2.54,0,0
50,경방 ,13300,0,0,499,26.65,27063,0.49,125,0.94
60,메리츠화재 ,27850,150,0.54,3856,7.22,22175,1.26,1280,4.6
70,삼양홀딩스 ,106000,3000,2.91,13218,8.02,171357,0.62,2250,2.12
75,삼양홀딩스우 ,69000,100,0.15,,,,,2300,3.33
80,하이트진로 ,35200,400,1.15,1246,28.25,15067,2.34,750,2.13
87,하이트진로2우B ,20950,50,0.24,,,,,800,3.82
100,유한양행 ,60000,100,0.17,2943,20.39,25880,2.32,400,0.67
105,유한양행우 ,58300,-900,-1.52,,,,,410,0.7
120,CJ대한통운 ,146000,4000,2.82,5683,25.69,146331,1,0,0
140,하이트진로홀딩스 ,14950,100,0.67,3014,4.96,20817,0.72,400,2.68
145,하이트진로홀딩스우 ,17750,-200,-1.11,,,,,450,2.54
150,두산 ,103000,0,0,,,77507,1.33,2000,1.94
155,두산우 ,73900,600,0.82,,,,,2050,2.77
157,두산2우B ,125000,3500,2.88,,,,,2000,1.6
180,성창기업지주 ,2540,-5,-0.2,78,32.56,7637,0.33,0,0
210,DL ,67200,1500,2.28,13077,5.14,67178,1,1300,1.93
215,DL우 ,40700,300,0.74,,,,,1350,3.32
220,유유제약 ,7320,-100,-1.35,84,87.14,6360,1.15,210,2.87
225,유유제약1우 ,9940,-50,-0.5,,,,,220,2.21
227,유유제약2우B ,23850,-50,-0.21,,,,,0,0
230,일동홀딩스 ,13600,0,0,,,10633,1.28,100,0.74
240,한국앤컴퍼니 ,16600,-100,-0.6,1848,8.98,36437,0.46,500,3.01
250,삼천당제약 ,49750,2700,5.74,,,8197,6.07,0,0
270,기아 ,84300,-800,-0.94,3710,22.72,73740,1.14,1000,1.19
300,대유플러스 ,1380,-40,-2.82,,,825,1.67,0,0
320,노루홀딩스 ,12350,150,1.23,1343,9.2,27547,0.45,450,3.64
325,노루홀딩스우 ,53700,4150,8.38,,,,,455,0.85
370,한화손해보험 ,4455,-60,-1.33,315,14.14,14390,0.31,0,0
390,삼화페인트 ,10200,150,1.49,294,34.69,10862,0.94,150,1.47
400,롯데손해보험 ,1820,-20,-1.09,,,3050,0.6,0,0
430,대원강업 ,4205,-5,-0.12,,,7487,0.56,100,2.38
440,중앙에너비스 ,18500,250,1.37,4144,4.46,9893,1.87,480,2.59
480,조선내화 ,88000,0,0,10421,8.44,154303,0.57,4200,4.77
490,대동 ,9710,-90,-0.92,985,9.86,13301,0.73,80,0.82
500,가온전선 ,28200,-150,-0.53,2418,11.66,63351,0.45,600,2.13
520,삼일제약 ,7990,-100,-1.24,110,72.64,4746,1.68,75,0.94
540,흥국화재 ,3895,10,0.26,268,14.53,11107,0.35,0,0
545,흥국화재우 ,8540,-50,-0.58,,,,,0,0
547,흥국화재2우B ,28150,-50,-0.18,,,,,0,0
590,CS홀딩스 ,64600,-300,-0.46,6657,9.7,210057,0.31,500,0.77
640,동아쏘시오홀딩스 ,107000,1500,1.42,26725,4,144380,0.74,1000,0.93
650,천일고속 ,68500,-300,-0.44,,,26545,2.58,3000,4.38
660,SK하이닉스 ,106500,3500,3.4,6952,15.32,71275,1.49,1170,1.1
670,영풍 ,694000,8000,1.17,77108,9,1803019,0.38,10000,1.44
680,LS네트웍스 ,3135,-90,-2.79,,,6258,0.5,0,0
700,유수홀딩스 ,6000,30,0.5,3202,1.87,11744,0.51,500,8.33
720,현대건설 ,51300,1000,1.99,1067,48.08,57894,0.89,600,1.17
725,현대건설우 ,155000,-3500,-2.21,,,,,650,0.42
760,이화산업 ,16450,-150,-0.9,,,35475,0.46,0,0
810,삼성화재 ,235000,4000,1.73,17760,13.23,321574,0.73,8800,3.74
815,삼성화재우 ,177500,1000,0.57,,,,,8805,4.96
850,화천기공 ,36400,-200,-0.55,2053,17.73,134620,0.27,750,2.06
860,강남제비스코 ,24800,-200,-0.8,3583,6.92,84026,0.3,500,2.02
880,한화 ,32750,-750,-2.24,2831,11.57,46059,0.71,700,2.14
885,한화우 ,39150,-50,-0.13,,,,,750,1.92
890,보해양조 ,985,-3,-0.3,14,70.36,617,1.6,0,0
910,유니온 ,7100,150,2.16,951,7.47,8009,0.89,125,1.76
950,전방 ,41700,-200,-0.48,5181,8.05,83530,0.5,0,0
970,한국주철관 ,9860,40,0.41,513,19.22,12129,0.81,200,2.03
990,DB하이텍 ,57300,-200,-0.35,3822,14.99,17851,3.21,350,0.61
995,DB하이텍1우 ,102000,-2000,-1.92,,,,,400,0.39
1000,신라섬유 ,2455,-55,-2.19,14,175.36,610,4.02,0,0
