종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,15100,-300,-1.95,1033,14.62,11860,1.27,"180
",의약품 제조업
2700,신일전자 ,1935,5,0.26,115,16.83,1059,1.83,"20
",기계장비 및 관련 물품 도매업
4690,삼천리 ,93300,100,0.11,9248,10.09,317378,0.29,"3000
",연료용 가스 제조 및 배관공급업
6740,영풍제지 ,6940,-70,-1,483,14.37,5692,1.22,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4870,-220,-4.32,316,15.41,1989,2.45,"50
",기타 운송관련 서비스업
10050,우리종금 ,997,-8,-0.8,89,11.2,605,1.65,"10
",기타 금융업
19010,베뉴지 ,2200,-25,-1.12,216,10.19,5453,0.4,"30
",종합 소매업
24090,디씨엠 ,23200,-200,-0.85,2166,10.71,16153,1.44,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3720,-85,-2.23,221,16.83,9852,0.38,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8870,-70,-0.78,697,12.73,3233,2.74,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10150,50,0.5,781,13,10226,0.99,"100
",전문디자인업
42500,링네트 ,6420,-140,-2.13,598,10.74,4476,1.43,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9700,-100,-1.02,740,13.11,2041,4.75,"275
",기타 사업지원 서비스업
53620,태양 ,9060,-10,-0.11,881,10.28,19081,0.47,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,10700,50,0.47,974,10.99,10889,0.98,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7980,140,1.79,599,13.32,12442,0.64,"80
",통신 및 방송 장비 제조업
67920,이글루시큐리티 ,7430,0,0,526,14.13,4533,1.64,"160
",기타 정보 서비스업
71460,위니아딤채 ,3715,-60,-1.59,348,10.68,2186,1.7,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,38400,1850,5.06,2306,16.65,21274,1.81,"185
",생활용품 도매업
90350,노루페인트 ,10050,-50,-0.5,879,11.43,16315,0.62,"275
",기타 화학제품 제조업
92730,네오팜 ,26150,-350,-1.32,2318,11.28,14343,1.82,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,47450,-600,-1.25,3156,15.03,22393,2.12,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,32850,-400,-1.2,2567,12.8,51539,0.64,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,31750,-50,-0.16,2628,12.08,26857,1.18,"200
",기초 화학물질 제조업
119860,다나와 ,28050,-350,-1.23,2387,11.75,10461,2.68,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8530,-110,-1.27,718,11.88,5865,1.45,"0
",텔레비전 방송업
126640,화신정공 ,2155,-45,-2.05,138,15.62,2357,0.91,"30
",자동차 신품 부품 제조업
192080,더블유게임즈 ,66800,500,0.75,6634,10.07,36923,1.81,"350
",소프트웨어 개발 및 공급업
