종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,13650,-650,-4.55,14200,14300,13400,657802,9040960400,3.81265E+11,27931470
40,KR모터스,KOSPI,,942,-24,-2.48,967,968,942,319267,303032511,90561400656,96137368
50,경방,KOSPI,,13750,-50,-0.36,13950,14100,13400,31441,433779500,3.7696E+11,27415270
60,메리츠화재,KOSPI,,28900,-1100,-3.67,29700,30100,28450,219339,6450766250,3.48606E+12,120625000
70,삼양홀딩스,KOSPI,,97500,-1600,-1.61,98800,99000,96800,33950,3310435300,8.35016E+11,8564271
75,삼양홀딩스우,KOSPI,,66000,-400,-0.6,66700,66700,65900,280,18572200,20067828000,304058
80,하이트진로,KOSPI,,33450,-450,-1.33,33600,33750,33350,300628,10078518250,2.34597E+12,70133611
87,하이트진로2우B,KOSPI,,20000,0,0,20100,20200,19900,1803,36073850,22602760000,1130138
100,유한양행,KOSPI,,59100,-400,-0.67,59100,59800,58900,154651,9143828400,4.1354E+12,69972959
105,유한양행우,KOSPI,,58400,0,0,59000,59000,58200,503,29293700,68966896000,1180940
120,CJ대한통운,KOSPI,,137500,-1000,-0.72,138500,138500,135500,29588,4047434500,3.1367E+12,22812344
140,하이트진로홀딩스,KOSPI,,14200,-100,-0.7,14300,14400,14050,11318,160128950,3.29536E+11,23206765
145,하이트진로홀딩스우,KOSPI,,16450,-500,-2.95,16850,16850,16100,370,6053450,7744824500,470810
150,두산,KOSPI,,131500,-3500,-2.59,133000,138500,125500,128810,16901877500,2.17288E+12,16523835
155,두산우,KOSPI,,81200,-2000,-2.4,83000,85000,81200,4972,410631800,3.24513E+11,3996462
157,두산2우B,KOSPI,,123500,-1000,-0.8,122000,126500,121000,2339,286994500,1.1029E+11,893038
180,성창기업지주,KOSPI,,2475,-25,-1,2480,2515,2450,158969,393402440,1.72635E+11,69751600
210,DL,KOSPI,,63600,-600,-0.93,63600,64400,63100,70022,4452356000,1.33279E+12,20955884
215,DL우,KOSPI,,39100,-500,-1.26,38950,39900,38600,7004,272427600,65927096500,1686115
220,유유제약,KOSPI,,6890,-40,-0.58,6850,7080,6850,50478,350537630,1.18731E+11,17232351
225,유유제약1우,KOSPI,,9190,-220,-2.34,9470,9480,9190,4527,41883510,20833086700,2266930
227,유유제약2우B,KOSPI,,19700,-350,-1.75,19700,19700,19300,1542,30123500,6413532000,325560
230,일동홀딩스,KOSPI,,13200,0,0,13100,13600,13000,7882,103579100,1.52333E+11,11540400
240,한국앤컴퍼니,KOSPI,,16850,-200,-1.17,16950,17250,16650,107040,1814356400,1.59966E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,47500,-700,-1.45,47550,49050,47200,103390,4958345000,1.08148E+12,22768041
270,기아,KOSPI,,83900,-1600,-1.87,84500,85200,83600,1378687,1.15907E+11,3.401E+13,405363347
300,대유플러스,KOSPI,,1510,50,3.42,1445,1535,1445,5202404,7846344510,1.82708E+11,120998774
320,노루홀딩스,KOSPI,,12800,250,1.99,12450,12800,12300,35453,448870550,1.70127E+11,13291151
325,노루홀딩스우,KOSPI,,43650,-1450,-3.22,44750,44750,43000,8659,377987200,8086162500,185250
370,한화손해보험,KOSPI,,4105,-20,-0.48,4115,4175,4095,222074,915761025,4.79213E+11,116738915
390,삼화페인트,KOSPI,,10200,260,2.62,9900,10350,9800,123556,1248792550,2.77475E+11,27203469
400,롯데손해보험,KOSPI,,1810,-30,-1.63,1825,1850,1795,203225,368068630,5.61709E+11,310336320
430,대원강업,KOSPI,,3960,-65,-1.61,4010,4020,3955,203509,810056515,2.4552E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,16750,-1350,-7.46,17300,17500,16500,89421,1519114250,1.04304E+11,6227130
